0: n01440764,丁鲷  
903: n04584207,假发  
904: n04589890,纱窗  
905: n04590129,百叶窗  
906: n04591157,温莎领带  
907: n04591713,葡萄酒瓶  
908: n04592741,飞机翅膀,飞机  
909: n04596742,炒菜锅  
910: n04597913,木制的勺子  
911: n04599235,毛织品,羊绒  
912: n04604644,栅栏,围栏  
913: n04606251,沉船  
914: n04612504,双桅船  
915: n04613696,蒙古包  
916: n06359193,网站,互联网网站  
917: n06596364,漫画  
918: n06785654,纵横字谜  
919: n06794110,路标  
920: n06874185,交通信号灯  
921: n07248320,防尘罩,书皮  
922: n07565083,菜单  
923: n07579787,盘子  
924: n07583066,鳄梨酱  
925: n07584110,清汤  
926: n07590611,罐焖土豆烧肉  
927: n07613480,蛋糕  
928: n07614500,冰淇淋  
929: n07615774,雪糕,冰棍,冰棒  
930: n07684084,法式面包  
931: n07693725,百吉饼  
932: n07695742,椒盐脆饼  
933: n07697313,芝士汉堡  
934: n07697537,热狗  
935: n07711569,土豆泥  
936: n07714571,结球甘蓝  
937: n07714990,西兰花  
938: n07715103,菜花  
939: n07716358,绿皮密生西葫芦  
940: n07716906,西葫芦  
941: n07717410,小青南瓜  
942: n07717556,南瓜  
943: n07718472,黄瓜  
944: n07718747,朝鲜蓟  
945: n07720875,甜椒  
946: n07730033,刺棘蓟  
947: n07734744,蘑菇  
948: n07742313,绿苹果  
949: n07745940,草莓  
950: n07747607,橘子  
951: n07749582,柠檬  
952: n07753113,无花果  
953: n07753275,菠萝  
954: n07753592,香蕉  
955: n07754684,菠萝蜜  
956: n07760859,蛋奶冻苹果  
957: n07768694,石榴  
958: n07802026,干草  
959: n07831146,烤面条加干酪沙司  
960: n07836838,巧克力酱,巧克力糖浆  
961: n07860988,面团  
962: n07871810,瑞士肉包,肉饼  
963: n07873807,披萨,披萨饼  
964: n07875152,馅饼  
965: n07880968,卷饼  
966: n07892512,红葡萄酒  
967: n07920052,意大利浓咖啡  
968: n07930864,杯子  
969: n07932039,蛋酒  
970: n09193705,高山  
971: n09229709,泡泡  
972: n09246464,悬崖  
973: n09256479,珊瑚礁  
974: n09288635,间歇泉  
975: n09332890,湖边,湖岸  
976: n09399592,海角  
977: n09421951,沙洲,沙坝  
978: n09428293,海滨,海岸  
979: n09468604,峡谷  
980: n09472597,火山  
981: n09835506,棒球,棒球运动员  
982: n10148035,新郎  
983: n10565667,潜水员  
984: n11879895,油菜  
985: n11939491,雏菊  
986: n12057211,杓兰  
987: n12144580,玉米  
988: n12267677,橡子  
989: n12620546,玫瑰果  
990: n12768682,七叶树果实  
991: n12985857,珊瑚菌  
992: n12998815,木耳  
993: n13037406,鹿花菌  
994: n13040303,鬼笔菌  
995: n13044778,地星  
996: n13052670,多叶奇果菌  
997: n13054560,牛肝菌  
998: n13133613,玉米穗  
999: n15075141,卫生纸  
